FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160422;0000;96,9698;;;
160423;0000;78,8507;;;
160424;0000;116,776;;;
160425;0000;210,888;;;
160426;0000;291,315;;;
160427;0000;316,786;;;
160428;0000;80,547;;;
160429;0000;251,88;;;
160430;0000;161,357;;;
160501;0000;247,542;;;
160502;0000;294,143;;;
160503;0000;249,553;;;
160504;0000;247,105;;;
160505;0000;227,695;;;
160506;0000;233,515;;;
160507;0000;174,72;;;
160508;0000;47,6912;;;
160509;0000;41,7599;;;
160510;0000;38,8416;;;
160511;0000;67,4541;;;
160512;0000;148,968;;;
160513;0000;125,489;;;
160514;0000;;;;
160515;0000;68,7667;;;
160516;0000;75,2787;;;
160517;0000;127,617;;;
160518;0000;47,895;;;
160519;0000;247,731;;;
160520;0000;417,528;;;
160521;0000;412,595;;;
160522;0000;397,281;;;
160523;0000;351,375;;;
160524;0000;328,783;;;
160525;0000;25,1346;;;
160526;0000;;;;
160527;0000;130,223;;;
160528;0000;352,554;;;
160529;0000;280,267;;;
160530;0000;216,052;;;
160531;0000;100,51;;;
160601;0000;164,422;;;
160602;0000;270,765;;;
160603;0000;259,099;;;
160604;0000;124,65;;;
160605;0000;30,9566;;;
160606;0000;40,5058;;;
160607;0000;56,0441;;;
160608;0000;66,4641;;;
160609;0000;147,41;;;
160610;0000;118,677;;;
