FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
151228;0000;5,79438;;;
151229;0000;6,22084;;;
151230;0000;4,32606;;;
151231;0000;3,56383;;;
160101;0000;4,19851;;;
160102;0000;6,16775;;;
160103;0000;6,54474;;;
160104;0000;4,33979;;;
160105;0000;4,41073;;;
160106;0000;6,25511;;;
160107;0000;5,59154;;;
160108;0000;5,50362;;;
160109;0000;5,6051;;;
160110;0000;5,69318;;;
160111;0000;5,77197;;;
160112;0000;5,05947;;;
160113;0000;5,11143;;;
160114;0000;6,60211;;;
160115;0000;5,51835;;;
160116;0000;9,63197;;;
160117;0000;10,0296;;;
160118;0000;9,17316;;;
160119;0000;8,04305;;;
160120;0000;9,5802;;;
160121;0000;10,1997;;;
160122;0000;8,57924;;;
160123;0000;6,60774;;;
160124;0000;12,8189;;;
160125;0000;10,9338;;;
160126;0000;8,34703;;;
160127;0000;6,26054;;;
160128;0000;9,6507;;;
160129;0000;10,7413;;;
160130;0000;11,019;;;
160131;0000;12,0501;;;
160201;0000;12,2658;;;
160202;0000;13,141;;;
160203;0000;16,8195;;;
160204;0000;14,4065;;;
160205;0000;12,8642;;;
160206;0000;6,79922;;;
160207;0000;9,66194;;;
160208;0000;10,6293;;;
160209;0000;11,3043;;;
160210;0000;11,3847;;;
160211;0000;9,22592;;;
160212;0000;9,99245;;;
160213;0000;9,73212;;;
160214;0000;9,29343;;;
160215;0000;6,77626;;;
160216;0000;10,1386;;;
160217;0000;9,72253;;;
160218;0000;10,6278;;;
160219;0000;11,4427;;;
160220;0000;10,2356;;;
160221;0000;12,6181;;;
160222;0000;13,8635;;;
160223;0000;8,80698;;;
160224;0000;12,1165;;;
160225;0000;11,528;;;
160226;0000;12,2113;;;
160227;0000;12,4435;;;
160228;0000;10,8033;;;
160229;0000;9,44949;;;
160301;0000;7,75478;;;
160302;0000;9,00487;;;
160303;0000;11,5171;;;
160304;0000;15,0571;;;
160305;0000;9,35367;;;
160306;0000;12,2271;;;
160307;0000;12,8596;;;
160308;0000;11,0243;;;
160309;0000;9,27061;;;
160310;0000;11,4356;;;
160311;0000;13,9798;;;
160312;0000;8,80481;;;
160313;0000;12,7082;;;
160314;0000;12,58;;;
160315;0000;12,8024;;;
160316;0000;9,00595;;;
160317;0000;13,4019;;;
160318;0000;14,6716;;;
